product_name,manufacturer,product_price,stock,total_reviews,rating,main_category,sub_category_1,sub_category_2,sub_category_3
"Dapol Model Railway ""City of Truro"" Plastic Kit - OO Scale 1/76",Dapol,10.2,,3.0,4.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
Ratio 575 Permanent Way Set (4 Wagons),Ratio,22.25,,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Piko H0 57633 H0 2.Kl. Personenwagen der DR B 2. Klasse der DR,Piko,15.75,3.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Hornby 00 Gauge 152mm GNR 0-6-2T Steam Locomotive Model,Hornby,89.99,3.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
SalesLa New Charming 4 Piece Wood Christmas Railway Wooden Train with 1 Engine Xmas Ornament Decor Gift Green,Sales La,5.99,,3.0,4.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Dapol C102A 57ft Stanier Corridor Brake LMS Maroon Lined 5530 Kit,Dapol,12.3,2.0,1.0,4.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Corgi 1:120 Scale Rail Legends 'Trigo' A3 Class Die Cast Stream Locomotive,Corgi,14.99,12.0,6.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
Märklin my world Battery Operated Signal,Märklin my world,7.99,10.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Lighting & Signal Engineering , Signal & Sound
Bachmann 35-077 Class E4 0-6-2 32556 BR Black Early Emblem,Bachmann,104.66,4.0,2.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
Thomas and Friends Track Master Dockside Delivery Crane Cargo and Cars Set,Mattel,13.87,6.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
